Аария Лайфсайнсиз Пвт. Лтд., Индия
Здоровье, ФК, ООО/Фармекс групп, ООО, Украина
ЗДРАВЛЕ, АО, Сербия
"Зейс Фармасьютикалс Пвт. Лтд. для ""Аджио Фармасьютикалс Лтд"", Индия"
"Зентива Саглик Урунлери Санаи ве Тиджарет А.Ш. для ""ратиофарм Интернешнл ГмбХ"", Турция/Германия"
Зентива Саглик Урунлери Санаи ве Тиджарет А.Ш., Турция
Зентива, АО, Словацкая Республика
Зентива, АО/Зентива, ООО, Словацкая Республика/Чешская Республика
"Зентива, ООО для ""Санофи-Авентис Украина, ООО"", Чешская Республика/Украина"
Зентива, ООО, Чешская Республика
Зижу Фармацеутикал Ко., Лтд., Китай
"ЗИО- Здоровье, ЗАО, для ""Актавис групп АТ"", Россия/Исландия"
"ЗИО- Здоровье, ЗАО, для ""Фармасофт, НПК, ООО"", Российская Федерация"
Зирка, Шосткинский казенный завод, Сумская обл., г.Шостка, Украина
ЗМ Дойчланд ГмбХ, Германия
"ЗМ Хелс Кеа Лтд для ""Меда АБ"", Большая Британия/Швеция"
Знамя, ПО, ДП, г.Полтава, Украина
Зоря-Машпроэкт, НПК газотурбостроительство, ДП, г.Николаев, Украина
К.О. Биофарм С.А., Румыния
Кадила Фармасьютикалз Лтд, Индия
"Кадила Хелткер Лтд. для ""Аббот Арцнаймиттель ГмбХ"", Индия/Германия"
Кадила Хелткер Лтд., Индия
Камбий, НПП, ООО, г.Киев, Украина
Каплин Поинт Лабораториез Лтд., Индия
Каспиан Тамин Фармасьютикал Ко., Иран.
"Каталент Джермани Шорндорф ГмбХ для ""Актавис групп АО"", Германия/Исландия"
"Каталент Джермани Шорндорф ГмбХ для ""ГлаксоСмитКляйн Экспорт Лтд"", Германия/Большая Британия"
"Каталент Джермени Шорндорф ГмбХ для ""Актавис ЕАД "", Германия/Болгария"
"Каталент Итали С.п.А. для ""Рекордати Аиленд Лтд"", Италия/Ирландия"
"Каталент Итали С.п.А. для ""Тева Фармацевтикал Индастриз"", Италия/Израиль"
"Каталент Фарма Солюшнз ЛЛС/Аэсика Квинборо Лтд для ""Аббот Лабораториз С.А."", США/Великобр./Швейцария"
"Каталент Ю.К. для ""Ферринг Интернешнл Сентер СА"", Великобритания/Швейцария"
"Каталент Ю.К. для ""Эли Лилли Недерленд Б.В., Великобритания/Нидерланды"
Квайссер Фарма ГмбХ и Ко. КГ, Германия
Квантум Сатис, ООО, г.Запорожье, Украина
Квизда Фарма ГмбХ, Австрия
"Кеата Фарма Инк. для ""МакНил Продактс Лтд"", Канада"
Кевельт АО, Эстония
Кедрион С.п.А, lталия
Кемиче Фабрик Креусслер & Ко. ГмбХ, Германия
"Керн Фарма С.Л. для ""Сперко Украина, СУИП"", Испания/Украина"
Киевмедпрепарат, ОАО, г.Киев, Украина
Киевмедпрепарат, ПАО, г.Киев, Украина
Киевская ФФ, ОГКП, г.Киев, Украина
Киевская ФФ, ОГКП/Черниговская ФФ, ООО, Украина
Киевский витаминный завод, ПАО, г.Киев, Украина
Киевский городской центр крови, Украина
Киевский областной центр крови, КЗ, КОР, Украина
"КИК Кастом Продактс для ""МакНил Продактс Лтд"", Канада/Большая Британия"
"Килафф, ЧП для ""Фаргомед, ООО"", Киевская обл., Украина"
Килафф, ЧП, г.Донецк, Украина
Килитч Драгс Лтд, Индия
Кимика Монтпеллиер С.А., Аргентина
Киова Хакко Когио Ко. Лтд, Япония
Кировоградская областная станция переливания крови, Украина
Кислород, ЧП, г.Полтава, Украина
Кислородмаш, АО, Одесса, Украина
Кислородный завод, ПАО, г.Киев, Украина
Клева С.А, Греция
"Клерис Лайфсайнсиз Лтд для ""Максфарма Балтия, ЗАО"", Индия/Литва"
Клерис Лайфсайнсиз Лтд, Индия
"Клостерфрау Берлин ГмбХ для ""Касселла-мед ГмбХ энд Ко КГ"", Германия"
Книсс Лабораториез Пвт.Лтд, Индия
Ковекс С.А., Испания
Ковидиен Дойчланд ГмбХ, Германия
"Комбино Фарм С.Л./Лаб. Алкала Фарма для ""Кандия, ООО"", Испания/Украина"
"Комбино Фарм С.Л./Хикма/Алкала Фарма для ""Альфамед, Лтд"", Испания/Италия/Азербайджан"
Константа - Фарм М, ООО, Российская Федерация
"Контракт Фармакал Корпорейшн для ""Байер Консьюмер Кер АГ"", США/Швейцария"
"Контракт Фармакал Корпорейшн для ""Сагмел, Инк."", США"
"Контракт Фармасьютикалз Лтд. для ""Шеринг-Плау Сентрал Ист АГ"", Канада/Швейцария"
Концепт Фармасьютикалз Лтд, Индия
"Корден Фарма С.п.А. для ""АстраЗенека ЮК Лтд"", Италия/Великобритания"
Косар Фармасьютикалз Ко., Иран
"Космо С.п.А. для ""Ф.И.Р.М.А. С.п.А (Менарини Групп), Италия"
Космо с.п.А., Италия
"Коцак Фарма Илац ве Кимия Санай А.С. для ""Гриндекс, АО"", Турция/Латвия"
Красная звезда, ХФЗ, ПАО, г.Харьков, Украина
Красногорсклексредства, ОАО, Российская Федерация
Красфарма, ОАО, г.Красноярск, Российская Федерация
Кревель Мойзельбах ГмбХ, Германия
Кременчугский ЛВЗ, ЗАО, г.Кременчуг, Украина
Креома-Фарм, ЭОФ, ЧАО, г.Киев, Украина
Криворожская станция переливания крови, ОКУ, Украина
Криогенсервис, Фирма, ООО, г.Киев, Украина
Криотехника, ИМВК, г.Харьков, Украина
КРКА Фарма, д.о.о., Загреб, Хорватия
КРКА, д.д., Ново место, Словения
КРКА, д.д., Ново место, Словения/Польша
КРКА-РУС, ООО, Российская Федерация
"Крымское республиканское учреждение ""Центр службы крови"", Украина"
Купер Фарма, Индия
"Кусум Фарм, ООО для ""Кусум Хелтхкер Пвт. Лтд"", Украина/Индия"
"Кусум Фарм, ООО для ""Такеда Украина, ООО"", Украина"
Кусум Фарм, ООО, г.Сумы, Украина
Кусум Хелтхкер Пвт. Лтд., Индия
Кусум Хелтхкер Пвт. Лтд/Кусум Фарм, ООО, Индия/Украина
Кьези Фармацеутици С.п.А.., Италия/Австрия
Лаб. Агетан, Франция
Лаб. Алкала Фарма, АО, Испания
Лаб. Альдо-Юнион, С.А., Испания
Лаб. Баго С.А., Аргентинская Республика
"Лаб. Баси Индастриа Фарм С.А. для ""Носта Фарма, ООО"", Португадлия/Украина"
Лаб. Безен Интернационал, Франция
"Лаб. Бейли-Креат для ""Уорлд Медицин Лтд"", Франция/Грузия"
"Лаб. Бейли-Креат для ""Уорлд Медицин"", Франция/Великобритания"
"Лаб. Бельмак С.аА. для ""Озон Лаб. Лтд."", Испания/Великобритания"
Лаб. Бушара-Рекордати, Франция
Лаб. Виджоса С.А. де Си.Ви., Республика Эль-Сальвадор
Лаб. Галенова Ольштин, ООО, Польша
Лаб. Гримберг С.А., Франция
Лаб. Жильбер, Франция
Лаб. Инибса, Испания
Лаб. Касаско А.П.Т.Т., Аргентина
Лаб. Касен-Флит С.Л.Ю., Испания
Лаб. Лабофарм, Польша
"Лаб. Леон Фарма С.А. для ""Алвоген ИПКо С.АР.Л"", Испания/Люксембург"
"Лаб. Леон Фарма, С.А. для ""БЦ Фарма Б.В."", Испания/Нидерланды"
"Лаб. Лизафарма С.П.А, БИФЛ для ""Эссети Фармасьютичи С.Р.Л."", Италия"
Лаб. Майоли Спиндлер, Франция
Лаб. Новатек, Куба
"Лаб. Нормон С.А. для ""Профарма Интернешнл Трейдинг Лтд"", Испания/Мальта"
Лаб. Омега Фарма Франс, Франция
"Лаб. Реиг Жофре, С.А. для ""Алвоген ИПКо С.АР.Л"", Испания/Люксембург"
"Лаб. Ричард для ""Байер Консьюмер Кер"", Франция/Швейцария"
"Лаб. Родаэль для Лаб. ""Альфа Вассерман Фарма"", Франция"
Лаб. Роза-Фитофарма, Франция
Лаб. Сальват, С.А., Испания
Лаб. Сервье Индастри, Франция
Лаб. Терамекс, Монако
"Лаб. Тиссен С.А. для ""Лаб. Сервье"", Бельгия/Франция"
Лаб. Тютор С.А.С.И.Ф.И.А., Аргентина
Лаб. УРГО, Франция
"Лаб. Фарма РОВИ С.А. для ""Менарини Интернешонал Оперейшонс"", Испания/Люксембург"
Лаб. Фармаколоджико Миланезе С.р.л., Италия
Лаб. Фармур С.А., Перу
"Лаб. Фурнье Лтд/Аббот Хелскеа САС для ""Аббот Лаб."", Ирландия/Франция/США"
Лаб. Шемино, Франция
Лаб. Шовен, Франция
"Лаб. Юнитер для ""Сантен, АО"", Франция/Финляндия"
"Лабесфаль Лаб. Алмиро, С.А. для ""Фрезениус Каби Дойчланд ГмбХ"", Португалия/Германия"
"Лабиана Фармасьютикалс, С.Л.У. для ""Морган Сас ди Фиоренцо Далмери энд К"", Испания/Италия"
Лаборатория развития фармацевтики (LDP), Франция
Лабормед Фарма С.А., Румыния
"Лабормед-Фарма С.А. для ""Алвоген ИПКо С.ар.л."", Румыния/Люксембург"
Лавена АО, Болгария
"Ладижинский завод ""Экстра"", ДП, ГАК ""Укрмедром"", г.Ладыжин, Винницкая обл., Украина"
"Лайка Лабс Лтд для ""Конарк Интелмед, ООО"", Индия/Украина"
"Лайфкеа Инновейшнз Пвт. Лтд, для ""Мили Хелскере Лтд."", Индия/Великобритания"
Лаллеманд С.А.С., Франция
Ланафарм, ООО, Российская Федерация
Ланжуйский Институт биологических продуктов, Китай
Ланнахер Хейльмиттель ГмбХ, Австрия
Ларк Лабораториз Лтд., Индия
"Лафаль Индастриз для ""ЗамбонФрансе"", Франция"
Легаси Фармасьютикалз Свистселенд ГмбХ, Швейцария
"Лек, предприятие комп. ""Сандоз"", Польша/Словения"
"Лек, предприятие комп. ""Сандоз"", Словения"
Лекко, ФФ, ЗАО, Российская Федерация
Лектравы, ЧАО, г.Житомир, Украина
Лекфарм СП, ООО, Республика Беларусь
"Лекхим, АО для ""Фармак"" ПАО, г.Киев, Украина"
Лекхим, АО, г.Харьков, Украина
Лемак Хелткер Пвт. Лтд, Индия
Лемери С.А. де С.В., Мексика
ЛЕО Фармасьютикал Продактc Лтд. А/С (ЛЕО Фарма А/С), Дания
Лерос с.р.о., Чешская Республика
Лечива а.с., Чешская Республика
Лизоформ Др. Ханс Роземанн ГмбХ, Германия/Швейцария
Лики Кировоградщины, ПАО, г.Кировоград, Украина
"Ликонса С.А. для ""Интели Генерикс Норд"", Испания/Литва"
"Ликонса С.А. для ""Польфарма С.А."", Испания/Польша"
Лилли дель Карибе Инк./Лилли С.А., Пуэрто-Рико/Испания
Лилли С.А., Испания
Лилли С.А./Элан Фарма Интернешнл Лтд, Испания /Ирландия
Лилли Фарма Фертигунг унд Дистрибьюшен ГмбХ и Ко. КГ, Германия
Лилли Франс С.А.С., Франция
Лилли Франс С.А.С./Эли Лилли энд Компани, Франция/США
"Лимак Хелтхкер Пвт. Лтд/Эрика Фарма для ""Евро Лайфкер Лтд"", Индия/Большая Британия"
Линде Газ Украина, ПАО, г.Днепропетровск, Украина
"Линдофарм ГмбХ для ""Эспарма ГмбХ"", Германия"
Липомед АГ, Швейцария
"Лисохимик, ОАО для ""СБ-Фарма, ООО"", Украина"
"Лихтенхельдт ГмбХ для ""Байер Консьюмер Кер"", Швейцария"
ЛМП, ООО, Латвия
ЛОК-БЕТА Фармасьютикалс (И) Пвт. Лтд., Индия
Лома Люкс Лабораториз, США
Лохвицкий СК, ДП, Полтавская обл., Лохвицкий р-н, г.Червонозаводское
ЛТС Ломанн Терапевтические Системы ГмбХ, Германия
"Лубныфарм, ОАО для ""ПРО-Фарма, УА, ООО"", Украина"
Лубныфарм, ПАО, г.Лубны, Полтавская обл., Украина
"Луганская областная ""Фармация"" ФФ, КП для ""Экофарм, НПК, ООО "", Украина"
"Луганская областная ""Фармация"" ФФ, КП, г.Луганск, Украина"
Луганская областная станция переливания крови, Украина
Луганский ХФЗ, ПАО, г.Луганск, Украина
Лундбек Х. А/С, Дания
"Львовдиалек, ДП, ГАК ""Укрмедпром"" г.Львов, Украина"
Львовкислород, Фирма, ООО, Украина
Львовский областной центр службы крови, Украина
Львовский химический завод, ПАО, г.Львов, Украина
Львовтехнофарм, ООО, г.Львов, Украина
ЛЭНС-Фарм, ООО, Российская Федерация
ЛЭО Лабораторис Лтд., Ирландия
Люмьер Фарма, ООО, Украина
Люпин Лтд, Индия
М&H Мануфектуринг Ко., Лтд, Тайланд
М. Дж. Биофарм Пвт. Лтд., Индия
"М.Р.Фарма С.А. для ""Лаб. Тютор С.А.С.И.Ф.И.А."", Аргентина"
МАДАУС ГмбХ, Германия
Маинлун Фармасьютикал Ко. Лтд, Китай
Майор Индия Лтд, Индия
"Макиз-Фарма, ЗАО для ""Нижфарм, ОАО"", Российская Федерация"
Маклеодс Фармасьютикалс Лтд, Индия
МакНил АБ, Швеция
Мако Фарма, СА, Франция
Макпар Интернешинал, Индия
"Макс Зеллер Сохн АГ для ""ГлаксоСмитКляйн"", Швейцария/Великобритания"
Максфарма Лтд, Кипр
Маллинкродт Медикел Имеджинг, Ирландия
Марион Биотек Пвт. Лтд., Индия
Мариупольская городская станция переливания крови, Украина
Мариупольская ФФ, ООО, г.Мариуполь, Украина
Марк Биосайнс Лтд, Индия
"Марк Фармасьютикс для ""Озон Лаб."", Румыния/Великобритания"
"Марксанс Фарма Лтд для ""Ананта Медикеар Лтд"", Индия/Большая Британия"
"Марксанс Фарма Лтд для ""Евро Лайфкер"", Индия/Большая Британия"
Марксанс Фарма Лтд, Индия
Материа Медика Холдинг, НПФ,ООО, г.Москва, Российская Федерация/Украина
Мати Фармасьютикалс Пвт. Лтд., Индия
Матрикс Лабораториес Лтд, Индия
Мега Лайфсайенсиз Лтд, Тайланд
Меда Фарма ГмбХ энд Ко. КГ, Германия
Медак ГмбХ, Германия
Медана Фарма АО, Польша
"Медгамал, НИИЭМ им. М.Ф. Гамалеи РАМН для ""Имбиоимпекс, ООО"", Россия/Украина"
Медгамал, НИИЭМ им. Н.Ф. Гамалеи РАМН, Россия
Медика АО, Болгария
Медикал Девелопментс Интернейшнал Птей, Лтд, Австралия
Медикор, Центр Современной Медицины, ЗАО, Российская Федерация
"Медиммун Фарма Б.В. для ""Шеринг-Плау"", Нидерланды/США"
Мединова Лтд, Швейцария
"Мединса Лаб. Мед. Инт. С.А. для ""Стада Арцнаймиттель"", Испания/Германия"
Меди-Токс Инк., Корея
Медиум, СП, г.Житомир, Украина
Медице Арцнаймиттель Пюттер Гмбх & Ко. КГ, Германия
Медицинский газовый сервис, ТД, ООО, Российская Федерация
Медлей Фармасьютикалс Лтд, Индия
Медокеми ЛТД, Кипр
Медофарм, Индия
Медрайч Лтд., Индия
"Медуна Арцнаймиттель ГмбХ для ""Медико ГмбХ"", Германия"
"Межведомственный научный центр криобиологии и криомедицины, НАН, АМН и МОЗ Украины"", Украина"
Межиречский витаминный завод, ДП, с.Межиречка, Головановский р-н, Украина
Мейджи Сейка Каиша, Лтд.,Япония
"Мейн Фарма Птв. Лтд. для ""Мейн Фарма Плк."", Австралия/Великобритания"
Мекель-Шпенглерсан ГмбХ, Германия
Мекофар, Вьетнам
Меллинкродт Медикал Инк., США,
Менарини Интернешонал Оперейшонс, Люксембург
"Мениш Экспортс для ""Америкен Нортон Корпорейшн"" Индия/США"
"Мениш Экспортс для ""М-Инвест Лтд"", Индия/Кипр"
Ментолатум Австралазия Пти Лтд, Австралия
Ментолатум Комп. Лтд, Великобритания
"Мепро Фармасютикалз Пвт. Лтд. для ""Мили Хелскер "", Индия/Великобритания"
"Мепро Фармасютикалз Пвт. Лтд. для ""М-Инвест Лтд"", Индия/Кипр"
"Мепро Фармасютикалз Пвт. Лтд. для ""Юнитек Инк. Лтд"", Индия/Гонконг"
Мерк Зелбстмедикатион ГмбХ, Германия
"Мерк КГаА & Ко. Верк Шпитталь для ""Сандоз Фармасьютикалз д.д."", Австрия/Словения"
Мерк КГаА, Германия
Мерк Санте с.а.с., Франция
Мерк Сероно С.А., Швейцария
Мерк Шарп и Доум Б.В., Нидерланды
Мерк Шарп и Доум Идеа Инк., Швейцария
"Меркле ГмбХ для ""Тева Фармацевтикал Индастриз Лтд"", Германия/Израиль"
Меркле ГмбХ, Венгрия
Меркле ГмбХ, Германия
"Меркле ГмбХ./НерФарМа С.р.л. для ""Тева Фармацевтикал Инд."", Германия/Италия/Израиль"
Мерц Фарма ГмбХ & Ко. КГаА, Германия
Метрикс Фармасьютикалс Пвт. Лтд., Индия
Мефа ЛЛС, Швейцария
Мефар Илач Санаи А.Ш., Турция
"Мибе ГмбХ Арцнаймиттель для ""Дермафарм АГ"", Германия"
Мибе ГмбХ Арцнаймиттель, Германия
"Мигуэль и Гаррига С.А. для ""Гранд Медикал Групп АГ"", Испания/Швейцария"
Мидас Кер Фармасьютикалз Пвт. Лтд, Индия
"Микро Лабс Лтд для ""Алексфарм ГмбХ Лтд"", Индия/Большая Британия"
Микро Лабс Лтд, Индия
Микроген, НПО, ФГУП, г.Томск, РосийскаяФедерация
Микрофарм, ООО, г.Харьков, Украина
Микрохим, НПФ, ООО, г.Рубежное, Луганская обл., Украина
Милан Лабораториес Лтд., Индия
Милве Фармацевтические заводы, АО, Болгария
Минскинтеркапс, УП, г.Минск, Республика Беларусь
"Минскинтеркапс, УП, для ""Фармак, ОАО"", Республика Беларусь/Украина"
"Митим С.р.л. для ""Магис Фармасьютичи С.п.А."", Италия"
"Мифарм С.п.А. для ""Новартис Фарма АГ"", Италия/Швейцария"
Моди-Мундифарма Пвт. Лтд., Индия
Молтени Л. и К. деи Фрателли, Италия
Монфарм, ОАО, г.Монастырище, Черкасская обл., Украина
Монфарм, ПАО, г.Монастырище, Черкасская обл., Украина
"Московский эндокринный завод, ФГУП для ""Нижфарм, ОАО"" Российская Федерация"
Московский эндокринный завод, ФГУП, г.Москва, Российская Федерация
Мосхимфармпрепараты, ОАО, им. Н.А.Семашко, Российская Федерация
"МСН Лабораторис Лтд. для ""Америкен Нортон Корп."", Индия/США"
Мукос Фарма ГмбХ, Германия
Мултани Фармасьютикалз Лтд, Индия
"Мустафа Невзат Илач Санаи А.Ш. для ""Асфарма - Украина, ООО"", Турция/Украина"
Мустафа Невзат Илач Санаи А.Ш., Турция
"Н.В. Органон для ""Шеринг-Плау Сентрал Ист АГ"", Нидерланды/Швейцария"
"Н.В. Ремедис Приват Лтд. для ""Мили Хелскере Лтд"", Индия/Большая Британия"
Наброс Фарма Пвт. Лтд., Индия
"Напрод Лайф Саинсис Пвт. Лтд, для ""М-Инвест Лтд"", Индия/Кипр"
"Напрод Лайф Саинсис Пвт. Лтд. для ""М. Биотек Лтд."", Индия/Великобритания"
"Напрод Лайф Саинсис Пвт. Лтд. для ""ОллМед Интернешнл Инк."", Индия/США"
"Напрод Лайф Саинсис Пвт. Лтд/Венус Ремедис Лтд. для ""М-Инвест Лтд"", Индия/Кипр"
Насалезэ Лтд, Великобритания
Натко Фарма Лтд, Индия
Натур Продукт Европа Б.В., Нидерланды
Натур Продукт Фарма Сп. з о. о., Польша
Натур+, ООО, г. Ирпинь, Киевская обл., Украина
Натуропрепарат, ДП, г.Киев, Украина
Национальные биотехнологии, ОАО, Российская Федерация
Национальный Гомеопатический Союз, ЧАО, Украина
Национальный центр ядерных исследований, Польша
"НБИ Савио для ""Ратиофарм"" Италия"
"НВ Ремедиз Пвт. Лтд. для ""ОллМед Интернешнл Инк."", Индия/США"
НВ Ремедиз Пвт. Лтд., Индия
"НекстФарма САС для ""ЮСБ Фарма С.А."", Франция/Бельгия"
"Нектар Лайфсайнсиз Лтд для ""Абрил Формулейшнз Пвт. Лтд"", Индия"
"Неон Лаб. Лтд./Винус Ремедис Лтд. для ""Америкен Нортон Корп."", Индия/США"
Неон Лабораторис Лтд, Индия
Неофарм, ООО, Республика Грузия
Неурон Инноцеутикалз Пте. Лтд, Сингапур
Ниармедик Плюс, ООО, Российская Федерация
Нижнефарм, ООО, с.Лиственное, Нижнегорский р-н., Украина
Нижфарм, ОАО, г.Нижний Новгород, Российская Федерация
"Нико, ООО для ""Фармасел, ООО"", г.Макеевка, Донецкая обл., Украина"
Нико, ООО, г.Макеевка, Донецкая обл., Украина
Николаевская областная станция переливания крови, Украина
Николаевская ФФ, ПОКС, г.Николаев, Украина
Николас Пирамал Лтд, Индия
Никомед Австрия ГмбХ, Австрия
Никомед ГмбХ, Германия
Никомед ГмбХ, Германия/Дания/Норвегия
Никомед Дания АпС, Дания
Никомед Фарма АС, Норвегия/Австрия
"Никомед Фарма АС/Аббот С.р.л.для ""Эббви Биофармасьютикалз ГмбХ"" Норвегия/Италия/Швейцария"
Ниппон Каяку Ко., Лтд, Япония
НИР, ООО, г.Киев, Украина
"Нич Дженерикз Лтд. для ""Гедеон Рихтер, ОАО"", Ирландия/Венгрия"
"Нише Дженерикс Лтд. для ""Актавис групп АО"", Ирландия/Исландия"
Нобел Илач Санаи Ве Тиджарет А.Ш., Турция
Новартис Консьюмер Хелс С.А., Швейцария
Новартис Лтд, Бангладеш
Новартис Фарма АГ, Германия
Новартис Фарма АГ, Швейцария
Новартис Фарма Продукционс ГмбХ, Германия/Швейцария
Новартис Фарма С.А.С.,Франция
Новартис Экс Лакс Инк., Пуэрто-Рико
Новатор
Новахим Индастри Лтд, Великобритания
"Новентис с.р.о. для "" ФармВИЛАР, ФПК, ЗАО"", Чешская Республика/Российская Федерация"
Новентис с.р.о., Чешская Республика
Ново Нордиск, А/Т, Дания
Новодез, ОАО НПО, г.Москва, Российская Федерация
Новосибхимфарм, ОАО, г.Новосибирск, Российская Федерация
"Новофарм-Биосинтез, ООО для ""Галичфарм, АО"", Украина"
"Новофарм-Биосинтез, ООО для ""Губенко Сергей Анатольевич, ФП"", Украина"
Новофарм-Биосинтез, ООО, г.Новоград-Волынский, Житомирская обл., Украина
Нордмарк Арцнаймиттель ГмбХ & Ко. КГ, Германия
Норжин Лтд, Большая Британия/Нидерланды
Норжин Фарма, Франция
Нью Лайф Фармасьютикалз, Индия
"Обнинская ХФК, ЗАО для ""Мир-Фарм, ООО"", Российская Федерация"
"Обнинская ХФК, ЗАО для ""Московский эндокринный завод, ФГУП"", Российская Федерация"
"Обнинская ХФК, ЗАО для ""Нижфарм, ОАО"", Российская Федерация"
Оболенское, ФП, ЗАО, Российская Федерация
Одесская областная станция переливания крови, КП, Украина
Озон, ООО, Российская Федерация
Оксфорд Лабораториз Пвт. Лтд., Индия
Октафарма АБ, Швеция
Октафарма Фармацеутика , Австрия
Октобер Фарма С.А.Э., Египет
Олайнфарм, АО, Латвия
"Олив Хелтхкер для ""Кусум Хелтхкер"", Индия"
Олифен, Корпорация, ЗАО, Российская Федерация
"ОМ Фарма СА для ""Астеллас Фарма Юроп Б.В., Швейцария/Нидерланды"
ОМ Фарма, Швейцария
Ом Фармасьютикалз Лтд., Индия
Омега Лабораториз Лтд., Канада
Они Инк., США
"Онко Терапиз Лтд. для ""ГлаксоСмитКляйн Экспорт"", Индия/Великобритания"
"Онко Терапиз Лтд. для ""М. Биотек Лтд"", Индия/Большая Британия"
"Онко Терапиз Лтд. для ""Страйдс Сиайес Лтд"", Индия/Кипр"
Онкосайнс АГ, Германия
"Онкотек Фарма Продукцион ГмбХ, для ""Эгис, ФЗ, ОАО"", Германия/Венгрия"
Опсо Селайн Лтд, Бангладеш
"Опытный завод ""ГНЦЛС"", ООО для ""Вертекс ФФ, ООО"", г.Харьков, Украина"
"Опытный завод ""ГНЦЛС"", ООО, г.Харьков, Украина"
"Опытный завод ""ГНЦЛС"", ООО/Здоровье, ФК, ООО, Украина"
"Опытный завод ""ГНЦЛС"", ООО/Фармекс групп, ООО, Украина"
Оранж Фарма Пвт. Лтд., Индия
Органика, ОАО, Российская Федерация
Орион Корпорейшн, Финляндия
Орион Корпорейшн/Специфар С.А., Финляндия/Греция
Орион Фарма/Шеринг-Плау Лабо Н.В., Финляндия/Бельгия/Швейцария
Орисил-Фарм, ООО, г.Калуш, Украина
ОРС, АО, Вьетнам
Орто-Клиникал Диагност., США/Германия
Орхид Хелтхкер, Индия
Осирис, ЧП, Украина
"ПАЛЛ Медикал Асколи для ""ПАЛЛ ГмбХ"", Италия/Германия"
Панацея Биотек Лтд, Индия
Панацея, ООО, г.Запорожье, Украина
Панацея, ООО, г.Краматорск, Донецкая обл., Украина
Пар Лабораторис, Индия
Парас Фармасьютикалз Лтд, Индия
"Парис-Дакнер для ""Ордаин Хелскере Пвт. Лтд."", Индия"
"Паркедал Фарма Инк./Новартис Фарма С.А.С. для ""Новартис Фарма АГ"", США/Франция/Швейц"
Партнер, ЗАО, Российская Федерация
"Патеон Инк. для ""Амджен Европа Б.В."", Канада/Нидерланды"
Патеон Инк., Канада
"Патеон Инк.В.О. для ""Новартис Консьюмер Хелс"", Канада/Швейцария"
Патеон Италия С.П.А, Италия
"Патеон Пуэрто Рико, Инк. для ""Мерк Шарп и Доум Идеа Инк"", Пуэрто Рико/Швейцария"
"Патеон Фармасьютикалс Инк. для ""АстраЗенека АБ"", США/Швеция"
"Пауль В. Бейверс ГмбХ для ""Алвоген ИПКо С.ар.л."", Германия/Люксембург"
"ПБС Фармасьютикалз С.Р.Л. для ""ИДМ Фарма САС"", Италия/Франция"
Пекана Натурхайльмиттель ГмбХ, Германия
Пептек, ЗАО, Российская Федерация
Пептоген, ИНПЦ, ЗАО, г.Москва, Российская Федерация
"Перкос Индия Пвт. Лтд. для ""Мили Хелскер Лтд."", Индия/Великобритания"
Перфторан, ОАО НПФ, Российская Федерация
Петровакс Фарм, НПО, ООО, Российская Федерация
Петроспирт, ЗАО, Российская Федерация
ПИК-ФАРМА ПРО, ООО, Российская Федерация
Плетхико Фармасьютикалз Лтд, Индия
Плива Краков, Фармацевтический Завод АТ, Польша
Плива Хрватска д.о.о., Хорватия
"Плива Хрватска д.о.о., для ""Тева Фармацевтикал Инд."", Хорватия/Израиль"
"Плива Хрватска д.о.о., для ""Тева, ООО"", Хорватия/Российская Федерация"
Плива-Лахема АО, Чешская Республика
Полидраг Лабораториз Пвт. Лтд., Индия
Полисан, НТФФ, ООО, г.Санкт-Петербург, Российская Федерация
Полтавский завод медицинского стекла, ОАО, Украина
Польфа АО, Варшавский фармацевтический завод
"Польфа АО, Пабъяницкий ФЗ для ""Профарма Интернешнл Трейдинг Лтд"", Польша/Мальта"
Польфа АО, Пабяницкий фармацевтический завод
Польфа АО, Тархоминский ФЗ, Польша
Польфарма С.А.,Фармацевтический завод, Польша
"Предприятие им.Чумакова, РАМН"" для ""Имбиоимпекс, ООО"", Россия/Украина"
"Прикарпатская ФК, ДП для ЧАО ""Луч АО"" г.Киев, Украина"
Прикарпатская ФК, ДП, Ивано-Франковская обл., Коломийский р-н, Украина
"Присайс Биофарм Пвт. Лтд для ""М. Биотек Лтд "", Индия/Большая Британия"
"Присайс Биофарм Пвт. Лтд/Марксанс Фарма Лтд для ""Евро Лайфкер Лтд "", Индия/Большая Британия"
"Присайс Биофарма Пвт для ""Медикос Лтд"", Индия/Великобритания"
Про. Мед. ЦС, Прага а.т., Чешская Республика
Проктер энд Гембл Интернешнл Оперейшенз СА, Швейцария
Пролисок О.Д., Фирма, ООО, Украина
Промед Экспортс Пвт. Лтд., Индия
Проскуровтехгаз ЛХЗ, ООО, с.Россоша, Хмельницкая обл., Украина
Профарм-Т, ООО, г.Турка, Львовская обл., Украина
"Пфайзер Илаклари Лтд. Сти. для ""Пфайзер Инк."", Турция/США"
Пфайзер Инк., США
Пфайзер Италия С.р.л., Италия/США
Пфайзер Менюфекчуринг Бельгия Н.В., Бельгия/США
"Пфайзер Менюфекчуринг Дойчленд ГмбХ для ""ВииВ Хелскер ЮК, Лтд"", Германия/Большая Британия"
Пфайзер Менюфекчуринг Дойчленд ГмбХ, Германия/США
Пфайзер Пи.Джи.Эм., Франция/США
Пфайзер Эйч. Си. Пи. Корпорейшн, США
Пьер Фабр Медикамент Продакшн, Франция
